,Nomads,Trades,Trades_per_step,Fights_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice
0,300,0,0.0,0.0,100,100,100,300.0,300.0,300.0
1,300,25,25.0,0.0,100,100,100,303.5,319.75,310.75
2,300,53,26.5,0.0,100,100,100,322.25,329.0,327.875
3,300,95,31.666666666666668,0.0,100,100,100,337.4375,344.0,351.125
4,300,146,36.5,0.0,100,100,100,356.015625,363.15625,378.2109375
5,300,202,40.4,0.0,100,100,100,380.919921875,382.4921875,404.45068359375
6,300,266,44.333333333333336,0.0,100,100,100,404.1351318359375,387.171875,439.61883544921875
7,300,330,47.142857142857146,0.0,100,100,100,437.0804443359375,417.640625,466.35321044921875
8,300,403,50.375,0.0,100,100,100,453.18475341796875,436.24609375,501.71649169921875
9,300,476,52.888888888888886,0.0,100,100,100,467.71990966796875,464.66015625,524.4684448242188
10,301,554,55.4,0.0,100,101,100,497.29803466796875,492.2055969238281,542.8881072998047
11,301,640,58.18181818181818,0.0,100,101,100,511.2680969238281,508.5066452026367,574.7052459716797
12,303,723,60.25,0.0,101,102,100,546.6512680053711,491.00812911987305,606.3654022216797
13,304,828,63.69230769230769,0.0,101,102,101,567.5291976928711,495.97004318237305,639.3937225341797
14,306,927,66.21428571428571,0.0,101,102,103,579.9371566772461,486.32868576049805,681.9950790405273
15,308,1032,68.8,0.0,102,102,104,589.9856185913086,496.0931739807129,704.0684623718262
16,311,1139,71.1875,0.0,103,102,106,614.5373764038086,499.34958267211914,723.2870388031006
17,314,1277,75.11764705882354,0.0,105,102,107,613.709587097168,502.93571853637695,748.8747158050537
18,315,1401,77.83333333333333,0.0,105,103,107,622.7314682006836,515.5996074676514,775.1527118682861
19,318,1522,80.10526315789474,0.0,107,103,108,635.4679088592529,556.4383296966553,785.8287239074707
20,318,1627,81.35,0.0,107,103,108,658.4961833953857,551.303689956665,811.3335151672363
21,322,1727,82.23809523809524,0.0,109,103,110,699.4913368225098,563.5093326568604,813.3905534744263
22,324,1830,83.18181818181819,0.0,110,103,111,698.4876000881195,556.8732318878174,840.204258441925
23,327,1920,83.47826086956522,0.0,110,104,113,704.5900781154633,567.7468452453613,862.967146396637
24,331,2013,83.875,0.0,112,104,115,712.1404759883881,564.9895243644714,874.5164594650269
25,333,2109,84.36,0.0,114,104,115,720.6793967485428,557.3261487483978,897.0308640003204
26,335,2214,85.15384615384616,0.0,115,104,116,746.2803129553795,556.2664506435394,917.1131374835968
27,339,2303,85.29629629629629,0.0,117,104,118,758.7894825339317,558.4122340679169,923.4958746433258
28,340,2402,85.78571428571429,0.0,118,104,118,790.3630015105009,544.9100104570389,935.6444370746613
29,341,2486,85.72413793103448,0.0,118,104,119,799.6458591669798,552.1427258253098,960.0515081882477
30,346,2573,85.76666666666667,0.0,122,104,120,832.6929496973753,556.6807760000229,942.7256712913513
31,346,2671,86.16129032258064,0.0,122,104,120,841.2206539362669,555.7457965612411,957.6430439949036
32,347,2748,85.875,0.0,122,104,121,850.141705557704,547.1986853480339,975.3181915283203
33,348,2819,85.42424242424242,0.0,122,104,122,840.9742611572146,546.0529734790325,990.0416648834944
34,348,2896,85.17647058823529,0.0,122,104,122,833.5973398759961,541.8029254823923,1002.0810420960188
35,348,2960,84.57142857142857,0.0,122,104,122,838.5102107599378,531.3169911056757,996.9803436249495
36,348,3019,83.86111111111111,0.0,122,104,122,829.0258318260312,525.5716952234507,1004.2400627583265
37,348,3069,82.94594594594595,0.0,122,104,122,829.8352749124169,524.7526306062937,1000.8705383390188
38,348,3109,81.8157894736842,0.0,122,104,122,826.5071499124169,519.8801716715097,1006.4548116773367
39,349,3167,81.2051282051282,0.0,123,104,122,833.7052030339837,509.02673591673374,996.7176152020693
40,351,3206,80.15,0.0,123,105,123,829.726034887135,506.32159854471684,987.6572899967432
41,351,3255,79.39024390243902,0.0,123,105,123,824.4839449450374,503.2365816384554,986.999731823802
42,351,3304,78.66666666666667,0.0,123,105,123,818.0613398775458,506.4662200510502,985.1421726197004
43,351,3335,77.55813953488372,0.0,123,105,123,805.8707638904452,505.318713337183,991.3341540396214
44,351,3376,76.72727272727273,0.0,123,105,123,806.8243771716952,504.2186347544193,983.4618014395237
45,351,3414,75.86666666666666,0.0,123,105,123,798.434972204268,506.8439819216728,981.02436247468
46,351,3449,74.97826086956522,0.0,123,105,123,800.684972204268,505.3439819216728,979.27436247468
47,351,3482,74.08510638297872,0.0,123,105,123,799.3473693244159,502.3588082268834,975.6335925161839
48,352,3525,73.4375,0.0,123,105,124,800.3750182501972,480.05783624202013,986.4709490835667
49,352,3562,72.6938775510204,0.0,123,105,124,795.4191428534687,480.323301024735,986.4709490835667
50,352,3597,71.94,0.0,123,105,124,797.2667991034687,478.073301024735,984.7658709585667
51,353,3626,71.09803921568627,0.0,123,105,125,796.4542991034687,468.74286472797394,988.496930167079
52,353,3663,70.4423076923077,0.0,123,105,125,793.9044175632298,469.15536364912987,986.7602358311415
53,353,3708,69.9622641509434,0.0,123,105,125,796.650084067136,468.42734131217003,982.6938454061747
54,353,3765,69.72222222222223,0.0,123,105,125,794.4354043491185,466.3413017690182,981.5374151617289
55,353,3807,69.21818181818182,0.0,123,105,125,790.4511954672635,465.5766130387783,978.1067376285791
56,353,3844,68.64285714285714,0.0,123,105,125,791.1884856112301,464.3266130387783,976.6872317939997
57,353,3888,68.21052631578948,0.0,123,105,125,786.5057019479573,459.9164155125618,980.7183066755533
58,353,3922,67.62068965517241,0.0,123,105,125,786.5057019479573,462.7889297604561,976.3912192732096
59,353,3954,67.01694915254237,0.0,123,105,125,790.1102312095463,458.83923053741455,974.068867623806
60,353,3997,66.61666666666666,0.0,123,105,125,785.0080715920776,463.30759988352656,972.568867623806
61,353,4030,66.06557377049181,0.0,123,105,125,785.8942022342235,461.1369954161346,972.568867623806
62,353,4054,65.38709677419355,0.0,123,105,125,782.2996015567333,459.41976235434413,973.2332087382674
63,353,4088,64.88888888888889,0.0,123,105,125,784.6457725157961,450.5462264958769,973.9832087382674
64,353,4123,64.421875,0.0,123,105,125,786.2485099425539,445.75110673345625,973.8246394023299
65,353,4163,64.04615384615384,0.0,123,105,125,788.0921095400117,440.85712714120746,969.2489513754845
66,354,4204,63.696969696969695,0.0,124,105,125,786.5921095400117,442.16245610639453,969.2489513754845
67,355,4251,63.44776119402985,0.0,124,106,125,786.4464376955293,448.17329366132617,959.321583211422
68,355,4287,63.044117647058826,0.0,124,106,125,786.8302420168184,445.634372305125,954.0538410544395
69,355,4315,62.53623188405797,0.0,124,106,125,778.0431743799709,446.4564972631633,952.8764663562179
70,355,4346,62.08571428571429,0.0,124,106,125,771.6637505232356,445.7356359474361,951.9410305842757
71,355,4372,61.57746478873239,0.0,124,106,125,769.204822295811,446.46001071855426,951.3400997258723
72,355,4399,61.09722222222222,0.0,124,106,125,769.4192898138426,447.1456527262926,948.3796505071223
73,355,4421,60.56164383561644,0.0,124,106,125,767.9756130198948,446.35566676035523,947.1296505071223
74,355,4439,59.986486486486484,0.0,124,106,125,768.4217408695258,446.35142797604203,940.097233209759
75,355,4467,59.56,0.0,124,106,125,768.4217408695258,446.35142797604203,940.097233209759
76,355,4497,59.171052631578945,0.0,124,106,125,768.4595826664008,441.0383066572249,944.9539445973933
77,356,4533,58.87012987012987,0.0,124,106,126,756.7218469181098,439.3967918790877,953.6093002893031
78,356,4567,58.55128205128205,0.0,124,106,126,757.2344436482526,436.1919181384146,952.6128833629191
79,356,4602,58.25316455696203,0.0,124,106,126,749.2087847129442,440.4830005802214,952.7184472177178
80,356,4637,57.9625,0.0,124,106,126,747.7129303463735,441.59189681336284,952.7184472177178
81,356,4675,57.71604938271605,0.0,124,106,126,745.2524821795523,437.8891697116196,953.4450757596642
82,356,4721,57.573170731707314,0.0,124,106,126,746.6138103045523,437.6391697116196,950.5700757596642
83,356,4761,57.36144578313253,0.0,124,106,126,747.3169353045523,435.77786611393094,949.355320090428
84,356,4795,57.083333333333336,0.0,124,106,126,746.8135952688754,435.85608934238553,948.3505736533552
85,356,4839,56.92941176470588,0.0,124,106,126,746.9254116751254,433.57474260404706,946.7728224713355
86,356,4879,56.73255813953488,0.0,124,106,126,746.0123257376254,424.93723635096103,949.6203294843435
87,356,4911,56.44827586206897,0.0,124,106,126,748.3865699507296,429.45594958681613,940.3317967504263
88,356,4938,56.11363636363637,0.0,124,106,126,749.6240163184702,430.20594958681613,936.368112668395
89,356,4968,55.82022471910113,0.0,124,106,126,751.4879757147282,428.7215262176469,929.2128645209596
90,356,5001,55.56666666666667,0.0,124,106,126,748.9997362717986,432.3768311650492,926.2970291790552
91,356,5034,55.31868131868132,0.0,124,106,126,744.8752269428223,433.01460384437814,926.5432489686646
92,356,5069,55.09782608695652,0.0,124,106,126,739.8116335405502,437.77623913250864,924.9811899759807
93,356,5117,55.02150537634409,0.0,124,106,126,733.5077872166876,442.242226338014,919.2187003851868
94,356,5158,54.87234042553192,0.0,124,106,126,729.072114904644,441.89039752446115,918.9261451722123
95,356,5192,54.65263157894737,0.0,124,106,126,734.3218808525708,435.87925272248685,918.9261451722123
96,356,5231,54.489583333333336,0.0,124,106,126,734.3375058525708,435.54453592561185,918.7762593389489
97,356,5263,54.25773195876289,0.0,124,106,126,731.8375058525708,435.94179849885404,918.7118692337535
98,356,5295,54.03061224489796,0.0,124,106,126,731.9968381279614,425.74116591201164,920.3205196009949
99,356,5341,53.94949494949495,0.0,124,106,126,729.9494578593876,418.7668784020934,924.5201051579788
100,356,5383,53.83,0.0,124,106,126,733.0782029710244,413.72726338752545,922.7728231297806
