,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades
0,2000,0.0,0.0,1000,1000,3000.0,3000.0,0.030509224391556795,0.029579725506093942,0.0,0.0
1,2000,0.0,0.5,1000,1000,2550.512970301451,2543.6376095744185,0.032537140182713274,0.031744812844874536,448.0,414.5
2,2000,0.0,20.5,1000,1000,2161.139745733021,2163.9748362408045,0.03597882660997607,0.03404554286541978,476.25,434.5
3,2000,0.0,57.166666666666664,1000,1000,1858.7396877314575,1835.2142249885248,0.04034222958459073,0.03838027190726962,500.3333333333333,461.5
4,1991,0.0,100.25,994,997,1620.3041023049009,1553.4809040929624,0.04452038965894619,0.04323783206525494,523.875,492.0
5,1945,0.0,147.4,966,979,1402.6091189133865,1330.1607313483148,0.04745063872397016,0.04619595114770772,542.7,511.2
6,1841,0.0,186.33333333333334,916,925,1208.3537171359949,1145.3390748127663,0.05019026745742706,0.04821677088099247,556.25,525.5
7,1705,0.0,219.07142857142858,849,856,1074.8732178617004,1001.1866536129793,0.05220808656892664,0.048616496862157514,564.2142857142857,531.8571428571429
8,1590,0.0,237.0625,792,798,950.1878854082719,885.9045962752007,0.05182159260114331,0.04980258812723793,565.5625,532.8125
9,1473,0.0,243.72222222222223,743,730,847.9810169967831,778.7190986139731,0.05408063171726639,0.049929841008951946,563.0,529.2222222222222
10,1366,0.0,244.6,699,667,749.2902536116359,695.701525785591,0.05580593484094498,0.05241492169188744,554.85,523.0
11,1273,0.0,245.27272727272728,655,618,645.375784266413,619.8077786988946,0.05676798955893771,0.054174279467106935,542.9545454545455,511.54545454545456
12,1147,0.0,243.04166666666666,602,545,563.0562869837293,553.9654395814085,0.05446224241013325,0.05167735501435122,527.75,501.5833333333333
13,1055,0.0,238.34615384615384,552,503,491.0311010144045,492.74368103590297,0.050897157521093174,0.0542254237949334,511.46153846153845,491.0769230769231
14,958,0.0,231.85714285714286,505,453,428.86467320069625,444.053143649231,0.05037041904318699,0.050655220905994044,493.0,480.0
15,874,0.0,223.5,461,413,374.08799675456174,408.685835745544,0.047912929477154934,0.05009652612754389,475.9,466.53333333333336
16,795,0.0,215.71875,426,369,322.8799531091403,381.3064915860337,0.04546822462637264,0.049874389837031935,459.71875,453.75
17,726,0.0,207.88235294117646,390,336,277.5791612369742,346.87301742727806,0.044427954045271674,0.05090880595221119,443.8235294117647,441.0
18,651,0.0,199.75,348,303,237.1648827545474,324.9992687367665,0.042834959977388995,0.05414815193627062,427.5833333333333,428.75
19,582,0.0,191.8684210526316,310,272,201.85930530015534,307.64083476162193,0.04192088319986768,0.05605377946352494,411.4736842105263,417.55263157894734
20,503,0.0,183.725,264,239,171.4066936484139,294.17229855056985,0.03935985536921559,0.05598368564286077,395.4,406.15
21,465,0.0,175.73809523809524,243,222,144.48779554253932,274.80258310320636,0.03768068372872748,0.055948044692459085,380.3095238095238,394.42857142857144
22,428,0.0,168.11363636363637,215,213,118.77549572621042,257.30675854213064,0.03550196165922846,0.058482923582503,366.25,383.1136363636364
23,376,0.0,161.1086956521739,186,190,95.77575662458752,243.24232073471657,0.03263560602162482,0.059456206756676636,352.9130434782609,372.2826086956522
24,335,0.0,154.77083333333334,160,175,76.68935553497627,230.88791006538568,0.02819314966896114,0.06505911151366806,339.9583333333333,362.125
25,307,0.0,148.86,147,160,62.39649902926057,217.2587143795965,0.028848884193629246,0.06639635912213185,328.1,352.2
26,279,0.0,143.15384615384616,128,151,47.26108692512926,201.05708892027215,0.02368381712687499,0.06766268212068151,316.78846153846155,342.4230769230769
