,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator
0,738,61.5,0.0,0.0,246,246,246,738.0,738.0,738.0,61.5,61.5,61.5,0.0,0.0,0.0,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
1,415,13.64700707592274,316.0,225.0,125,138,152,713.2489317640727,735.3911671113776,1328.4637533912764,13.88888888888889,9.857142857142858,16.88888888888889,31.9,30.9,32.95,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
2,309,6.507818088911598,525.0,509.0,90,96,123,998.3788219856616,839.5640167163195,1627.299388758784,4.7368421052631575,6.0,8.2,26.4,27.5,32.7,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
3,278,20.10695443645084,726.0,863.5,92,77,109,1661.2882445768482,1029.5405309188009,1521.2375343613987,30.666666666666668,25.666666666666668,7.266666666666667,25.333333333333332,25.783333333333335,33.36666666666667,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
4,266,14.226817042606516,859.0,1022.5,72,74,120,1156.8122444570881,1250.7537401771917,2496.153520654668,24.0,6.166666666666667,13.333333333333334,28.3375,24.9375,34.5125,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
5,274,10.408301130671246,991.5,1163.0,58,76,140,1178.3808202962744,1212.9936211078618,3264.471858934161,19.333333333333332,7.6,8.235294117647058,26.52,23.89,43.77,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
6,295,29.54482109227872,1125.5,1339.0,70,59,166,1894.039432601797,992.9572543806024,3624.134481445203,23.333333333333332,3.2777777777777777,41.5,24.975,22.3,59.86666666666667,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
7,335,18.16483039348711,1329.0,1600.5,102,98,135,2585.1723086795027,2355.7894430211513,2311.9104830467095,34.0,9.8,12.272727272727273,27.87142857142857,24.40714285714286,69.25,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
8,358,54.42597765363129,1462.0,1753.5,144,128,86,3369.3398972368495,3454.606501384519,1245.5425428580045,72.0,64.0,10.75,37.55625,32.68125,68.3875,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
9,375,40.981746031746034,1559.5,1858.0,135,175,65,2908.1867878247367,4862.335108607577,1109.1721241840157,33.75,58.333333333333336,9.285714285714286,45.48888888888889,42.11666666666667,64.95555555555555,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
