,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades
0,2000,0.25,0.0,0.0,1000,1000,3000.0,3000.0,0.25,0.25,0.0,0.0,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1525,0.25,0.14779270633397312,0.8522072936660269,761,764,1255.0996995330986,1142.1632346817048,0.25,0.25,78.2,72.65,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,754,0.20700707338638372,0.13351877607788595,0.866481223922114,389,365,800.7355760706828,574.1595736238329,0.16666666666666666,0.25,66.65,70.45,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,492,0.25,0.12953367875647667,0.8704663212435233,252,240,764.9033898153381,462.4495939737634,0.25,0.25,53.7,56.15,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,351,0.25,0.12096774193548387,0.8790322580645161,188,163,837.5194293178419,452.0957867743448,0.25,0.25,45.0125,47.3125,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,296,0.2894144144144144,0.11440677966101695,0.885593220338983,156,140,896.4558407696501,522.5138595819005,0.25,0.3333333333333333,39.58,40.47,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,261,0.2883141762452107,0.11591355599214145,0.8840864440078585,141,120,1054.277905849809,499.2326678212773,0.25,0.3333333333333333,36.1,35.858333333333334,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,240,0.28576388888888893,0.11390134529147983,0.8860986547085202,137,103,1207.3034030991616,464.15417582159057,0.25,0.33333333333333337,34.17142857142857,32.35,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,211,0.2843601895734597,0.11168384879725086,0.8883161512027491,124,87,1368.1694397745248,510.89311529800756,0.25,0.3333333333333333,32.25,29.475,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,206,0.21885113268608417,0.1125,0.8875,129,77,1549.4650477513226,538.8622783442131,0.25,0.16666666666666669,31.38888888888889,26.95,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
