,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
0,1600,0.20833333333333334,0.0,0.0,800,800,2400.0,2400.0,0.16666666666666669,0.25,0.0,0.0,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1600,0.20833333333333334,554.0,1.0,800,800,2082.575910144007,2085.4741698560065,0.16666666666666669,0.25,292.5,300.0,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1600,0.20833333333333334,535.25,8.0,800,800,1837.0924368263895,1838.5881440428593,0.16666666666666669,0.25,294.5,304.0,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1600,0.20833333333333334,543.8333333333334,27.833333333333332,800,800,1613.0611230915754,1598.8864659178391,0.16666666666666669,0.25,307.8333333333333,316.8333333333333,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1597,0.1529604118833925,551.75,52.5,797,800,1397.4590162891682,1394.718344328642,0.05555555555555556,0.25,321.0,325.25,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1572,0.20843935538592026,546.0,79.1,784,788,1238.1177643034023,1233.3488932821804,0.16666666666666666,0.25,331.7,333.5,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1505,0.2087486157253599,540.4166666666666,101.58333333333333,745,760,1109.0922742326939,1104.828759329877,0.16666666666666669,0.25,341.9166666666667,341.75,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1427,0.2087713151132913,533.2142857142857,112.28571428571429,706,721,992.3004011862391,995.742194939084,0.16666666666666669,0.25,348.92857142857144,348.2857142857143,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1360,0.1942208462332301,526.0625,119.625,674,686,896.1024982492064,882.9649409738282,0.05263157894736842,0.3333333333333333,351.0,350.9375,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1289,0.20920610292216188,517.5555555555555,122.77777777777777,631,658,813.4978860518623,805.3632924847328,0.16666666666666669,0.25,352.3333333333333,351.44444444444446,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
