,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades,Tribe_9_Nomads,Tribe_9_Spice,Tribe_9_Clustering,Tribe_9_Trades,Tribe_10_Nomads,Tribe_10_Spice,Tribe_10_Clustering,Tribe_10_Trades,Tribe_11_Nomads,Tribe_11_Spice,Tribe_11_Clustering,Tribe_11_Trades,Tribe_12_Nomads,Tribe_12_Spice,Tribe_12_Clustering,Tribe_12_Trades,Tribe_13_Nomads,Tribe_13_Spice,Tribe_13_Clustering,Tribe_13_Trades,Tribe_14_Nomads,Tribe_14_Spice,Tribe_14_Clustering,Tribe_14_Trades,Tribe_15_Nomads,Tribe_15_Spice,Tribe_15_Clustering,Tribe_15_Trades,Tribe_16_Nomads,Tribe_16_Spice,Tribe_16_Clustering,Tribe_16_Trades,Tribe_17_Nomads,Tribe_17_Spice,Tribe_17_Clustering,Tribe_17_Trades,Tribe_18_Nomads,Tribe_18_Spice,Tribe_18_Clustering,Tribe_18_Trades
0,100,10.416666666666668,0.0,0.0,50,50,150.0,150.0,8.333333333333334,12.5,0.0,0.0,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,72,6.848484848484849,0.0,0.0,32,40,57.256648455516654,70.37072193701133,2.909090909090909,10.0,1.1,0.1,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,4.493827160493828,0.0,0.0,16,20,50.17526250841861,50.15342070272385,1.7777777777777777,6.666666666666667,1.125,0.1,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,3.5396825396825395,0.0,0.0,12,15,68.87055435295498,51.464718353847594,1.7142857142857142,5.0,1.1833333333333333,0.2,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,4.401515151515151,0.0,0.0,9,13,83.26495192407248,54.94551972872308,4.5,4.333333333333333,1.0625,0.3625,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,3.2,0.0,0.0,8,12,95.88233994135031,55.182178913624504,2.0,4.0,0.85,0.47,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,3.2,0.0,0.0,8,12,105.65880792962038,58.61861469634941,2.0,4.0,0.7083333333333334,0.5333333333333333,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,3.2,0.0,0.0,8,12,117.61275529848984,67.05505047907431,2.0,4.0,0.6285714285714286,0.55,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19,3.697368421052632,0.0,0.0,9,10,138.52618913723185,71.96656925993896,2.25,5.0,0.65,0.5625,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,3.75,0.0,0.0,10,10,159.37488392560505,77.21239041743134,2.5,5.0,0.7055555555555556,0.5666666666666667,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,4.264705882352941,0.0,0.0,8,9,173.2687696059986,76.69828471353156,4.0,4.5,0.68,0.6,ofat_results_sophie,500,500,2,100,10,10,100,0.5,0.5,1.0,0.0,7000,,,,<function gen_spice_map at 0x11061ade0>,<function no_river at 0x13396ade0>,<function random_locations at 0x13396af20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
