,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades
0,900,150.0,0.0,0.0,450,450,1350.0,1350.0,150.0,150.0,0.0,0.0,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
1,522,52.44348659003832,369.0,292.0,267,255,1537.666952058819,1612.0228261731513,89.0,14.166666666666666,101.5,88.35,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
2,419,37.01327565632458,684.0,727.5,192,227,1223.7989141014925,3064.3644258711756,64.0,14.1875,100.25,93.975,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
3,391,39.632352941176464,903.0,1111.5,152,239,1335.2771685553098,4125.529110679379,8.0,59.75,94.01666666666667,111.85,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
4,397,95.4939991109794,1031.5,1381.5,125,272,1474.318793190898,5153.465996600582,7.352941176470588,136.0,86.1125,143.15,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
5,392,45.89489795918367,1134.0,1565.5,115,277,1878.6217577398936,5727.093195227027,23.0,55.4,78.35,160.76,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
6,428,44.56047507788162,1227.5,1653.0,131,297,2742.9463963842404,5819.326422669225,10.916666666666666,59.4,74.18333333333334,167.59166666666667,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
7,461,50.53579175704989,1342.0,1799.5,159,302,3969.939597671111,5625.321674680981,31.8,60.4,74.77142857142857,179.4,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
8,488,49.00983606557377,1462.0,1928.0,228,260,5905.939946152522,4732.160962101368,45.6,52.0,82.60625,187.6875,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
9,546,115.05128205128204,1601.5,2102.5,326,220,8318.87242339972,3517.9038734929495,163.0,44.0,102.7,186.83333333333334,ofat_results_sophie_coop_issue,100,100,2,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
