,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades
0,600,0.0,0.0,200,200,200,600.0,600.0,600.0,0.0033186874331532267,0.0032484905692026626,0.003079492682285975,0.0,0.0,0.0
1,600,0.0,0.0,200,200,200,560.0201599999988,554.2511999999987,565.2030399999987,0.003091888701832093,0.003493449089959551,0.003407747896282287,17.5,18.0,16.0
2,600,0.0,0.25,200,200,200,528.0090176000006,523.2188495360008,530.1115310080005,0.0034461709583170548,0.0037459085191916277,0.003655335339736807,18.75,18.0,14.75
3,600,0.0,2.3333333333333335,200,200,200,492.86815822233564,492.48949801983923,503.3168659763196,0.003954366916389542,0.004009850389142537,0.003787305369865702,20.166666666666668,18.0,17.166666666666668
4,600,0.0,3.125,200,200,200,461.3294577688417,458.0103911725832,473.1734899431971,0.004052189816558601,0.004320826353253292,0.004231367564957098,20.25,19.0,19.875
5,599,0.0,5.3,199,200,200,431.9739496300531,426.0307371636543,443.6246883339035,0.0038025404488480933,0.004933709417518252,0.004862348513153591,21.1,21.0,21.8
6,597,0.0,8.583333333333334,198,199,200,404.3407947121508,393.9558383229895,411.44053459868775,0.004153082846308616,0.0051034371822951145,0.0048123696519006415,21.916666666666668,22.416666666666668,23.416666666666668
7,592,0.0,12.857142857142858,195,197,200,371.17604144932454,359.71796637782387,373.06496771890477,0.00456860246120782,0.005579507651389337,0.005292399118266636,23.071428571428573,23.642857142857142,25.071428571428573
8,581,0.0,14.8125,191,193,197,344.67634297612295,329.9976809681724,339.0312157233939,0.0052772762037978675,0.0063262755136667395,0.0062914003631285445,24.1875,25.875,26.3125
9,567,0.0,17.5,188,187,192,311.67281154159326,303.2570186936261,312.86352305854444,0.0058641147612706985,0.006685880602166853,0.006497850235674895,24.72222222222222,27.833333333333332,27.833333333333332
10,545,0.0,19.9,179,181,185,289.50823143396474,277.74870951781105,296.28428519417406,0.005779052731581874,0.00615032766669727,0.00608703007039251,25.2,28.5,27.8
11,536,0.0,21.636363636363637,172,180,184,265.7498987315144,254.55767532342315,269.6112003436668,0.005851282392620141,0.006849365856130993,0.006294223543439201,25.545454545454547,29.181818181818183,28.863636363636363
12,517,0.0,23.333333333333332,164,175,178,245.1361602721663,225.86181946036783,246.143939406969,0.005764572141030985,0.007487550364214471,0.006339797675887433,25.708333333333332,29.708333333333332,29.041666666666668
13,496,0.0,25.03846153846154,160,167,169,229.2666778313129,201.4680196573647,224.76860820222691,0.006230156537975799,0.007039014180402498,0.006397510310978226,25.96153846153846,30.23076923076923,29.26923076923077
14,465,0.0,26.285714285714285,150,154,161,218.2244979115582,183.28531086312057,212.02036008307664,0.005998780520136572,0.0068212051417709165,0.006710319160339072,25.785714285714285,30.5,29.178571428571427
15,449,0.0,27.333333333333332,144,149,156,205.63482849897278,165.8007311709196,199.7117211474821,0.0054625527105060445,0.0063499632786724785,0.007007001579131447,25.6,30.266666666666666,29.2
16,422,0.0,27.96875,133,139,150,193.05530011193028,159.21661673341967,183.72448413816744,0.0052874719927021715,0.006133106586394949,0.007972752060032057,24.96875,30.125,29.75
17,400,0.0,28.61764705882353,125,129,146,181.2491844964323,147.97498391778154,172.2411244746784,0.00503724805937555,0.006156376731016436,0.008650190646714425,24.58823529411765,30.058823529411764,29.705882352941178
18,376,0.0,29.13888888888889,115,122,139,166.6820389720867,138.81134114110336,154.87693484278287,0.005023005797913212,0.006566798834638161,0.007839902851297223,24.583333333333332,29.666666666666668,29.666666666666668
19,348,0.0,28.86842105263158,105,114,129,153.26353702829638,121.44669250212358,139.49787973248542,0.004646126737298125,0.00715325054534499,0.0076722996476835245,24.342105263157894,29.289473684210527,29.31578947368421
20,322,0.0,28.75,94,104,124,141.15283512831633,112.08607379496677,126.88255288904276,0.005025987993613001,0.007159714581818717,0.007665598688353654,23.9,28.775,28.825
21,294,0.0,28.357142857142858,87,95,112,129.20474495149367,101.66919161107279,107.45548293300578,0.004734814020383858,0.0070176952951137034,0.008086486913281447,23.333333333333332,28.071428571428573,28.214285714285715
22,263,0.0,27.886363636363637,81,84,98,115.19396298582222,90.8939329556962,98.40922193055471,0.005027669003104788,0.006294812439989705,0.007623088789802053,22.65909090909091,27.386363636363637,27.636363636363637
23,244,0.0,27.47826086956522,76,78,90,110.5982302546798,84.73494205523433,89.92736535403228,0.005225475616244753,0.007035181592123005,0.0065214584623195454,22.02173913043478,26.847826086956523,26.782608695652176
24,221,0.0,27.229166666666668,71,72,78,102.57594494371232,78.03577302581411,82.4198787423291,0.005252555359377749,0.007612390532323734,0.006464766392127163,21.395833333333332,26.1875,26.166666666666668
25,198,0.0,26.74,65,64,69,89.5968565956893,72.98024766593024,73.16301025293318,0.005164847369007333,0.008293951222214881,0.0074219348552736,20.86,25.56,25.44
26,183,0.0,26.134615384615383,62,60,61,79.30933727181917,64.77986451343375,62.339044008415684,0.004991016689359167,0.008134719011463771,0.00782689238727374,20.23076923076923,25.076923076923077,24.884615384615383
27,165,0.0,25.333333333333332,57,53,55,68.12538171649904,57.81528515658205,52.7975854072878,0.004519090441323743,0.009131789725010057,0.008140725827665007,19.666666666666668,24.48148148148148,24.166666666666668
28,153,0.0,24.696428571428573,53,48,52,60.635828762292384,52.09219147266464,46.011175067176815,0.004157195700453502,0.00771556182822384,0.00793135435992579,19.142857142857142,23.839285714285715,23.553571428571427
29,134,0.0,24.0,46,42,46,53.45223904451121,47.12135615676871,40.356549137630665,0.004280226421482982,0.008397185836784851,0.007787280541108106,18.586206896551722,23.155172413793103,22.896551724137932
30,100,0.0,23.3,31,32,37,48.06295864327308,45.09075691825795,35.6271487144667,0.005781622451335537,0.009623015873015886,0.0073779563186342914,18.033333333333335,22.616666666666667,22.3
31,95,0.0,22.677419354838708,30,31,34,44.4192984304492,43.992249761735074,30.572936255100327,0.005424052081806093,0.008148785965336323,0.005573713508998563,17.612903225806452,22.032258064516128,21.725806451612904
32,90,0.0,22.09375,30,29,31,40.67000250801721,39.844894384715865,25.680120790260034,0.0064141662834042035,0.0056737588652482265,0.0047526516425670014,17.1875,21.421875,21.140625
33,84,0.0,21.515151515151516,27,27,30,37.49378426669675,38.26368256663174,22.351414332771704,0.0054907493013696415,0.005848153214774282,0.004755834680595282,16.71212121212121,20.803030303030305,20.575757575757574
34,75,0.0,21.0,26,26,23,34.64370995509653,36.349649489989574,19.206177420501383,0.006186243048026119,0.005721135465783102,0.003947368421052632,16.25,20.25,20.014705882352942
35,67,0.0,20.414285714285715,23,26,18,31.7444827854368,33.49271299390362,16.85068594087089,0.0075253847573652855,0.008376655747044583,0.00392156862745098,15.82857142857143,19.771428571428572,19.47142857142857
36,61,0.0,19.86111111111111,22,23,16,29.524058578776504,31.02138266490095,15.14570667227356,0.005309267700320347,0.006989247311827956,0.003225806451612903,15.472222222222221,19.26388888888889,18.930555555555557
37,55,0.0,19.324324324324323,22,19,14,26.498792237997744,28.93750301613177,13.22511685931781,0.008164558196159818,0.005357142857142857,0.0035714285714285713,15.135135135135135,18.77027027027027,18.41891891891892
38,54,0.0,18.81578947368421,21,19,14,23.43605795673953,27.03750301613176,11.29560012932194,0.010361583490378922,0.003636363636363636,0.004242424242424242,14.776315789473685,18.30263157894737,17.93421052631579
39,48,0.0,18.333333333333332,19,18,11,21.400269156739526,25.16261003145265,10.021545602843947,0.006656477250816681,0.007482993197278911,0.0027210884353741495,14.448717948717949,17.858974358974358,17.474358974358974
40,43,0.0,17.875,17,17,9,19.595910756739535,23.44324001317761,8.955977139206944,0.008126479965848225,0.007575757575757575,0.0015151515151515152,14.1375,17.4125,17.0375
41,40,0.0,17.4390243902439,17,16,7,17.895910756739536,21.840331242698216,8.168128840402881,0.00786171306609425,0.004878048780487805,0.0,13.804878048780488,17.036585365853657,16.621951219512194
42,37,0.0,17.023809523809526,16,15,6,16.241877294925345,20.289602858723168,7.519144464458684,0.00934999455949763,0.0043859649122807015,0.0,13.547619047619047,16.666666666666668,16.226190476190474
43,35,0.0,16.63953488372093,15,14,6,14.503669959108004,18.739198755474593,6.496432215159571,0.007008148234469271,0.003703703703703704,0.0,13.255813953488373,16.302325581395348,15.848837209302326
44,33,0.0,16.28409090909091,14,13,6,13.077877933590269,17.401174329476955,5.89643221515957,0.006207705924481755,0.00392156862745098,0.000980392156862745,12.977272727272727,15.943181818181818,15.488636363636363
45,30,0.0,15.933333333333334,12,13,5,11.73019682766939,16.101174329476954,5.3734897694020685,0.008774754496460348,0.007526881720430107,0.0,12.71111111111111,15.588888888888889,15.144444444444444
